epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.803,0.744,2.51341,1.39701,0.57339,0.73875,0.71196,0.41097,1.05505,1.99492,1.46773,0.000107376,0.000107376,0.000107376
2,275.041,0.39295,1.00846,1.09596,0.80968,0.88787,0.9066,0.79368,0.55256,0.71199,1.04277,0.000210785,0.000210785,0.000210785
3,409.279,0.37396,0.82364,1.07951,0.83784,0.86602,0.8973,0.81368,0.44127,0.66923,0.89527,0.00030993,0.00030993,0.00030993
4,543.51,0.35689,0.73909,1.06132,0.87727,0.92373,0.92693,0.82044,0.459,0.53459,0.93996,0.000303814,0.000303814,0.000303814
5,677.697,0.33569,0.66187,1.05031,0.88791,0.96447,0.95632,0.88562,0.35393,0.38657,0.78927,0.000297418,0.000297418,0.000297418
6,811.921,0.3198,0.60841,1.04022,0.91158,0.95483,0.95782,0.87978,0.39036,0.39206,0.80779,0.000291023,0.000291023,0.000291023
7,946.251,0.31038,0.57412,1.03351,0.8748,0.94749,0.94775,0.85447,0.45154,0.51351,0.9217,0.000284628,0.000284628,0.000284628
8,1080.44,0.2924,0.55373,1.02086,0.71717,0.68352,0.80464,0.69308,0.51997,1.51593,1.01575,0.000278232,0.000278232,0.000278232
9,1214.6,0.28619,0.52983,1.01551,0.90936,0.96713,0.95769,0.85533,0.43321,0.42784,0.85913,0.000271837,0.000271837,0.000271837
10,1348.86,0.28227,0.51553,1.0133,0.85347,0.90871,0.93735,0.83824,0.42436,0.56446,0.87069,0.000265441,0.000265441,0.000265441
11,1483.25,0.27828,0.50535,1.01124,0.88095,0.98006,0.96294,0.91498,0.32471,0.3358,0.75041,0.000259046,0.000259046,0.000259046
12,1617.48,0.27357,0.49188,1.01003,0.91394,0.94422,0.96533,0.90604,0.34465,0.40764,0.76411,0.000252651,0.000252651,0.000252651
13,1751.74,0.27033,0.48215,1.00783,0.78335,0.84184,0.89398,0.81571,0.40875,0.88248,0.8416,0.000246255,0.000246255,0.000246255
14,1885.91,0.26235,0.4697,1.00442,0.93442,0.96136,0.98222,0.93461,0.32647,0.38113,0.73023,0.00023986,0.00023986,0.00023986
15,2020.35,0.25889,0.45651,1.00211,0.92121,0.95267,0.97311,0.89113,0.41726,0.41174,0.86426,0.000233464,0.000233464,0.000233464
16,2154.64,0.25609,0.45235,0.99816,0.92814,0.96063,0.97589,0.91869,0.31514,0.34915,0.73861,0.000227069,0.000227069,0.000227069
17,2288.83,0.2546,0.44352,0.99753,0.93496,0.94114,0.97637,0.92273,0.30436,0.35747,0.71491,0.000220674,0.000220674,0.000220674
18,2423.04,0.25302,0.43703,0.99503,0.94191,0.97753,0.97815,0.93097,0.3086,0.28984,0.71831,0.000214278,0.000214278,0.000214278
19,2558.25,0.24829,0.44075,0.99562,0.87413,0.83364,0.93266,0.81043,0.46707,0.65628,0.85319,0.000207883,0.000207883,0.000207883
20,2692.4,0.24953,0.43537,0.99441,0.93735,0.97706,0.98605,0.93814,0.31388,0.30053,0.71308,0.000201487,0.000201487,0.000201487
21,2826.52,0.24394,0.43244,0.99163,0.96231,0.98328,0.98564,0.93711,0.31868,0.27285,0.71708,0.000195092,0.000195092,0.000195092
22,2960.46,0.24402,0.42305,0.99097,0.9585,0.97332,0.98721,0.93486,0.30543,0.28962,0.70755,0.000188697,0.000188697,0.000188697
23,3094.5,0.24042,0.42515,0.99094,0.97118,0.97221,0.99066,0.95048,0.29577,0.26912,0.70402,0.000182301,0.000182301,0.000182301
24,3228.62,0.23764,0.41561,0.98809,0.97006,0.98477,0.99043,0.95376,0.27518,0.26632,0.6792,0.000175906,0.000175906,0.000175906
25,3362.73,0.24003,0.41099,0.98707,0.96755,0.97601,0.98792,0.95578,0.28614,0.25949,0.69096,0.00016951,0.00016951,0.00016951
26,3496.85,0.23705,0.39999,0.98494,0.97719,0.98104,0.98947,0.95566,0.29486,0.26305,0.69959,0.000163115,0.000163115,0.000163115
27,3631.03,0.23479,0.38919,0.98391,0.98195,0.98828,0.99115,0.96518,0.24853,0.22647,0.65457,0.00015672,0.00015672,0.00015672
28,3765.29,0.23098,0.3942,0.98415,0.98197,0.97896,0.99131,0.96061,0.26298,0.24008,0.67304,0.000150324,0.000150324,0.000150324
29,3899.43,0.23014,0.38753,0.98146,0.98241,0.9837,0.99149,0.96149,0.25126,0.22027,0.64513,0.000143929,0.000143929,0.000143929
30,4033.38,0.22989,0.38826,0.98196,0.97434,0.98846,0.99106,0.95924,0.25586,0.22689,0.65739,0.000137533,0.000137533,0.000137533
31,4167.43,0.22171,0.37648,0.97836,0.89422,0.91094,0.95594,0.8097,0.45887,0.63789,0.81861,0.000131138,0.000131138,0.000131138
32,4301.5,0.22351,0.38169,0.98006,0.93006,0.9301,0.98023,0.89936,0.33947,0.46429,0.76612,0.000124743,0.000124743,0.000124743
33,4435.46,0.21943,0.37722,0.97766,0.95071,0.9366,0.98149,0.91829,0.33662,0.37612,0.76685,0.000118347,0.000118347,0.000118347
